Regla,Tipo,Disparos_Train,Win_Rate_Train,ROI_Train,Disparos_Test,Win_Rate_Test,ROI_Test,P_Value,Significativo
Under25_Si_0-0_HT,Under 2.5,721,83.49514563106796,58.64077669902912,177,82.48587570621469,56.7231638418079,2.39193633270117e-19,False
Favorito_Mantiene_Ventaja,Favorito,532,84.9624060150376,61.42857142857142,166,84.93975903614458,61.38554216867469,3.9597489467780734e-21,False
Ganando_1-0_HT_No_Pierde,Doble Chance (ganador HT),732,90.57377049180327,72.09016393442623,220,90.0,71.0,6.83669612580971e-37,False
Gol_2H_Equipos_Grandes,Gol en 2H,870,78.50574712643679,49.16091954022989,230,79.13043478260869,50.34782608695652,7.395653438403458e-20,False
Gol_2H_Si_Gol_1H,Gol en 2H,1359,78.21927888153054,48.61662987490801,403,76.42679900744417,45.21091811414391,1.241349718091529e-27,False
Over25_Si_2Goles_HT,Over 2.5,627,85.16746411483254,61.818181818181806,183,85.79234972677595,63.005464480874316,2.4953579299269262e-24,False
